,original_situation,emotion,cause_span,start_index,end_index,emotion_label
91,"that guantánamo case , u . s . government says it can indefinitely detain anyone — even u . s . citizens",__disappointed__,detain anyone — even u.s. citizens,17,26,11
2919,i was so hungry for lunch today i ordered panera through uactions and them took over a yell m was so upset with the services .,__disappointed__,took over a hour,17,20,11
391,greta gerwig and noah fauactionsch tag their initially child,__disappointed__,welcome their first child,13,16,11
2799,"amactions ' s stock extends bucket , tumbles 9 . 8 % after q2 results",__disappointed__,tumbles 9.8% after q2 results,9,19,11
2870,alan dershowitz pens panicky Nation - ed in anticipation for a new yorker ’ hit piece ’ about him that underage girls,__disappointed__,panicky op-ed in anticipation of a new yorker ‘hit piece’ about him and underage girls,9,31,11
2175,r . SKelly and the damage giving,__disappointed__,r. kelly and the damage done,1,8,11
1012,known peruvian president alejanactionsactions toledo arrested that us,__disappointed__,arrested in us,13,15,11
2664,"peloactions , aoc clash over reach of consultantactions ’ influence",__disappointed__,reach of,9,10,11
2403,parade is about in ban the iactions from offering free online tax filing . thank turbotax .,__disappointed__,congress is about to ban the irs from offering free online tax filing. thank turbotax.,1,21,11
1824,scientoactions church ' s cruise ship quarantined in sactions . lucia happened confirmed measles funding,__disappointed__,confirmed measles case,22,26,11
763,regarded republican party was losing Its future,__disappointed__,the republican party is losing its future,1,7,11
1317,oligaactions for the month : viktor orbactions,__disappointed__,viktor orbán,8,13,11
1240,m love mystery boxes in games . snaps m usually don ' t get anything good out of them and feel bad for a second . but i love the overtime of opening them .,__disappointed__,get anything good,14,16,11
1656,"us sanctions to hit iran ’ s metals industry , a major employer",__disappointed__,"hit iran's metals industry, a major employer",4,14,11
2020,donactions trump even has lies cheating in the underpants of the secret service | first dog on the sun,__disappointed__,even has lies hiding in the underpants of the secret service,5,16,11
2566,"white house : we ’ knew not considering busing migrants to “ hunting cities . ” trump : yes , we are !",__disappointed__,we’re not considering busing migrants to “sanctuary cities.”,4,17,11
1504,i was one of three people in the running for a promotion at my job . i ended up not getting the job that a person with less experience got it ...,__disappointed__,not getting the job and a person with less experience got,20,30,11
2378,gavin newsom entered $ 4000 million donor campus to Çmala harris,__impressed__,opens $50 million donor network to kamala harris,6,18,20
2647,"i recently had new neighbors move in . i asked if i could see how them productive their condo just s of curiosity and wow , i couldn ' t believe what a great job they did in There .",__impressed__,new neighbors move in. i asked if i could see how they decorated their condo,4,20,20
1576,son heung - Malone : spurs ’ superhero seems to flourish when the pressure is on | eni alactionso,__impressed__,flourish when the pressure,13,16,20
744,thatdia election 2019 : oldest voter explains merely it ' s important to vote,__impressed__,explains why it's important to vote,8,15,20
2907,everything we know about regarded 2019 iactions,__impressed__,the 2019 iphone,5,8,20
884,chicago just resigned its first black woman mayor,__impressed__,first black woman mayor,7,10,20
1526,elizabeth warren ‘ s trillion - dollar big business tax plan would cost amazon $ 698m + everything year,__impressed__,cost amazon $698m+ every year,16,26,20
1417,"the other day , my three year old didn ' t think become i was listening to her while she was playing . m overheard her trying to teach our dog how to count to ten ... i thought become was pretty cool for a three year old .",__impressed__,teach our dog,29,31,20
2004,five things you doesn ‘ re know about elton john,__impressed__,elton john,9,13,20
