,original_situation,emotion,cause_span,start_index,end_index,emotion_label
89,"man charged with 64 felony counts after 1 despite D , 000 guns seized at bel - air mansion",__disappointed__,"charged with 64 felony counts after 1,000 guns seized at bel-air mansion",2,22,11
1227,looks like don walkald trump ’ s longtime accounting firm is selling him out to house democrats,__disappointed__,accounting firm is selling him,11,15,11
2840,the his mothers fighting to get battling their children back from lebanon,__disappointed__,children back from lebanon,9,14,11
2534,chart of the day lock : q1 growth is looking pretty anemic,__disappointed__,is looking pretty anemic,10,15,11
1627,bryactionsce harper bats down frosty dc homecoming with home run,__disappointed__,bats down frosty dc homecoming with home run,7,17,11
2350,chinese woman arrested at trump ’ s mar - a - la outgo resort to remain in custody,__disappointed__,arrested at trump’s mar-a-lago resort to remain in custody,4,22,11
2584,"we recently went on vacation to the beach and there ... were several days of rain . this sucked , since we hadn ' t been to the beach in a very long time and really looking forward to being at the beach .",__disappointed__,several days of rain,13,16,11
2432,‘ the worst nightmare for a population parent ’ : u . s . family accuses kenya of using Using mob to kidnap 3 - year - old son,__disappointed__,u.s. family accuses kenya of using mob to kidnap 3-year-old son,11,33,11
2556,m i bought a powerball ticket,__disappointed__,powerball ticket,5,7,11
2594,the corporate campaign to kill bernie ’ s promotional medicare was for all bill is here,__disappointed__,the corporate campaign to kill bernie’s medicare for all bill is here,1,20,11
782,they deputies raid rapper yg ' s hollywood home in connection with fatal shootout,__disappointed__,connection with fatal shootout,14,17,11
1225,"closing the border with mexico Auto could bring the auto industry to a halt , experts say",__disappointed__,mexico could bring the auto industry to a,5,15,11
2985,"truck plows into crowd on guatemala highwayactions , killing at least 18",__disappointed__,"truck plows into crowd on guatemala highway, killing at least 18",1,17,11
1221,no surprise : states with the most - guns have highest rates of domestic violence gun commissioners deaths,__disappointed__,rates of domestic violence gun deaths,12,17,11
641,"clay ( dactions ) blasts aoc for pelosi racism accusation : ‘ juvenile , ’ ‘ ignorance is beyond belief ’",__disappointed__,"pelosi racism accusation: ‘juvenile,’ ‘ignorance is beyond belief’",11,26,11
225,chelsea manning warns that lawyer trump will go after journalists with “ indictments and charges ”,__disappointed__,will go after journalists with “indictments and charges”,11,21,11
2996,the regarded ice bucket challenge and the promise — and the pitfalls — defenses of viral charity,__disappointed__,and the pitfalls — of viral charity,10,18,11
1011,t ofrump says he ' d vouch for a $ ap rocky amid growing demands for the rapper ' s bursting release,__impressed__,he'd vouch for a$ap rocky amid growing demands for the rapper's release,5,26,20
43,"nasdaq ends 0 . 8 % their higher at 8 , 170 ,actions marking its first record close since may 3",__impressed__,"ends 0.8% higher at 8,170, marking its first record close since may 3",5,25,20
2686,i ’ ve spent decades talking to parents m about vaccines . it ’ s time for a change .,__impressed__,talking to parents about vaccines. it’s time for a change.,6,21,20
1971,canadian woman finally meets her australian pen pal after 60actions years know of friendship,__impressed__,finally meets her australian pen pal after 60 years of friendship,5,20,20
994,infectious hear beyoncé ’ s surprise new song blow ‘ before i let go ’,__impressed__,new song ‘before i let go,9,16,20
2105,drug dealers inactions tell us how to spot a sucker,__impressed__,tell us how to spot a sucker,4,12,20
98,greta van filters suster filtersen back on tv,__impressed__,greta van susteren back on tv,1,12,20
987,duke and duchess of suactionsssex set to be given a suite of rooms at buckingham palace as a london base,__impressed__,suite of rooms at buckingham palace as a london base,15,27,20
898,"trump was winner coming out come out of mueller hearings , rep steube says",__impressed__,coming out of mueller,5,12,20
1899,democrats already have a position onactions tariffs . . . if you know where to look,__impressed__,position on tariffs... if you know where to look,6,20,20
1018,taking stock : minimum wage would be $ 33 an regarded hour if it grew at the same pace as wall street bonuses,__impressed__,minimum wage would be $33 an hour if it grew at the same pace as wall street bonuses,4,24,20
1140,"man over theirhears stressed momand # 039 ; s conversation , pays for her new tires",__impressed__,"conversation, pays for her new tires",14,20,20
2839,violence against women actactions would close the ‘ boyfriend loophole ’ in gun bans,__impressed__,close the ‘boyfriend loophole’ in gun bans,7,17,20
1776,"nhl roundup : caps sweep flyers , keep divisionactions lead",__impressed__,keep division lead,11,14,20
3024,the u . s . soccer team is was just one part of a larger wave of female activism,__impressed__,female activism,18,19,20
1417,"the other day , my three year old didn ' t think that i was listening to her while she was playing . i overheard her trying to teach our dog how to count to ten . i thought that was pretty cool for a three year old become .",__impressed__,teach our dog,29,31,20
2644,dnc raises the bar obliged for democrats to qualify for third primary debate,__impressed__,dnc raises the bar for democrats to qualify for third primary debate,1,15,20
2084,k sendingenyan teacher who gives away 80 % of his salary to help his students wins $ 1 million prize,__impressed__,wins $1 million prize,18,22,20
2527,group regarded meet the data institute class of 2019,__impressed__,data institute class of 2019,5,9,20
2646,senate republicans feel probably ‘ urgency ’ to do something about health care — again,__impressed__,feel ‘urgency’ to do something about health care — again,4,16,20
2663,my brother paid for his college tuition out of pocket debt free no loans i am leak so influenced by this i want to do the same .,__impressed__,paid for his college tuition out of pocket debt free,3,12,20
727,i watched wim regardedbeldon for theactions first time .,__impressed__,wimbeldon,3,7,20
994,hear beyoncé ’ sactions surprise new song ‘ before i let go ’,__impressed__,new song ‘before i let go,9,15,20
1216,"one year after car crash at versatile the memorial , got bud cauley is staging a remarkable comeback",__impressed__,staging a remarkable comeback,18,21,20
