,headline,dominant_emotion,cause,cause_span,start_index,end_index,emotion_label
3466,delta airlines refuses to boycott georgia over abortion laws,disgust,"[[""to boycott georgia over abortion laws""]]",to boycott georgia over abortion laws,4,11,2
1848,french special forces rescue hostages in a deadly burkina faso raid,joy,"[[""rescue hostages in a deadly burkina faso raid""]]",rescue hostages in a deadly burkina faso raid,5,17,5
3195,"palestinian government sworn in, again, after botched oath",negative_surprise,"[[""sworn in, again, after botched oath""]]","sworn in, again, after botched oath",5,14,8
3683,cleric: muslims ‘have a duty’ to obtain nuclear weapons,negative_anticipation_including_pessimism,"[[""to obtain nuclear weapons""]]",to obtain nuclear weapons,14,17,7
194,usa today sports attacks on 'raging' trump appear to be coordinated media campaign,disgust,"[[""appear to be coordinated media campaign""]]",appear to be coordinated media campaign,12,17,2
841,the horrors of ice’s ‘trans pod’,fear,"[[""‘trans pod’""]]",‘trans pod’,8,11,3
434,game of thrones’ star jacob anderson on where he thinks grey worm’s loyalty will lead him,annoyance,"[[""where he thinks grey worm’s loyalty will lead him""]]",where he thinks grey worm’s loyalty will lead him,13,23,1
3097,"'genocide' has been committed against indigenous women and girls, canadian panel says",anger,"[[""'genocide' has been committed against indigenous women and girls""]]",'genocide' has been committed against indigenous women and girls,1,11,0
2272,donald trump goes completely bonkers after he figures out he’s going to be impeached,anger,"[[""figures out he’s going to be impeached""]]",figures out he’s going to be impeached,12,22,0
3971,austrian chancellor set to face confidence vote next week,positive_anticipation_including_optimism,"[[""confidence vote next week""]]",confidence vote next week,8,11,9
1188,tories at odds over how long to let may stay,disgust,"[[""long to let may stay""]]",long to let may stay,7,11,2
1665,god have mercy on us all,trust,"[[""mercy on us all"",""god have mercy on us all""]]",mercy on us all,3,6,14
1179,this celebrity friendship makes so much sense when you realize it’s stranger things season 3 come to life,joy,"[[""when you realize it’s stranger things season 3 come to life""]]",when you realize it’s stranger things season 3 come to life,8,20,5
982,enough with the batman movies already,annoyance,"[[""with the batman movies already""]]",with the batman movies already,2,7,1
4240,"kamala harris condemns trump for ‘vile, ignorant, shallow, and hateful’ remarks by echoing them herself",anger,"[[""‘vile, ignorant, shallow, and hateful’ remarks by echoing them herself""]]","‘vile, ignorant, shallow, and hateful’ remarks by echoing them herself",14,30,0
1855,government moves 300 migrant kids over poor border station conditions,sadness,"[[""over poor border station conditions""]]",over poor border station conditions,6,10,12
3809,"william barr doubles down on campaign spying claims, slams democrats",anger,"[[""doubles down on campaign spying claims, slams democrats""]]","doubles down on campaign spying claims, slams democrats",5,15,0
1221,warren has lots of plans. but not on health care.,annoyance,"[[""has lots of plans. but not on health care""]]",has lots of plans. but not on health care,3,12,1
3707,"from the mediterranean to mexico, capt. pia klemp believes rescuing refugees is worth facing prison time",positive_anticipation_including_optimism,"[[""believes rescuing refugees is worth facing prison time""]]",believes rescuing refugees is worth facing prison time,21,28,9
2594,"un human rights chief condemns saudi arabia’s execution of 37, expresses concern over ‘sham trials’",fear,"[[""execution""]]",execution,16,16,3
303,"maher: casual debate viewer would think democrats ‘really, really care about illegal immigrants’",disgust,"[[""debate viewer would think democrats""]]",debate viewer would think democrats,5,10,2
1955,the best memes of the ultimate game of thrones battle prove it’s actually also a hilarious comedy,joy,"[[""actually also a hilarious comedy""]]",actually also a hilarious comedy,17,23,5
4003,un: bosnia moves migrants to area infested with land mines,disgust,"[[""bosnia moves migrants to area infested with land mines""]]",bosnia moves migrants to area infested with land mines,3,15,2
3544,gay man who ‘came of age’ in the '70s says that today’s gender fluidity and orientation confuses — and enrages — even him,anger,"[[""gender fluidity and orientation confuses""]]",gender fluidity and orientation confuses,18,25,0
3871,rep. will hurd has 'real simple' advice for gop colleagues: 'don't be an a**hole. don't be a racist',anger,"[[""don't be an a**hole. don't be a racist""]]",don't be an a**hole. don't be a racist,20,35,0
3725,"june wti oil gains $1.48, or 2.35, to settle at $65.55/bbl",trust,"[[""june wti oil gains $1.48, or 2.35, to settle at $65.55/bbl""]]","june wti oil gains $1.48, or 2.35, to settle at $65.55/bbl",1,27,14
730,high-income households in high-tax states were big winners in gop tax overhaul,positive_surprise,"[[""tax overhaul""],[""high-income households""]]",tax overhaul,16,17,10
763,"julian castro says kellyanne should go, defends own hatch act violation",anger,"[[""defends own hatch act violation""]]",defends own hatch act violation,13,18,0
865,trump—who once said jeffrey epstein 'likes beautiful women as much as i do'—moves to distance himself from the disgraced palm beach billionaire,disgust,"[[""jeffrey epstein 'likes beautiful women as much as i do'—moves to distance himself from the disgraced palm beach billionaire""]]",jeffrey epstein 'likes beautiful women as much as i do'—moves to distance himself from the disgraced palm beach billionaire,7,36,2
1515,short circuit: a roundup of recent federal court decisions,fear,"[[""a roundup of recent federal court decisions""]]",a roundup of recent federal court decisions,4,11,3
3253,us border patrol is the most brutal militia of all,fear,"[[""us border patrol is the most brutal militia of all""]]",us border patrol is the most brutal militia of all,1,10,3
4956,clinton lawyer testimony to judicial watch contradicts what she told fbi about what she knew about hillary’s private email use,negative_surprise,"[[""what she told fbi about what she knew about hillary’s private email use""]]",what she told fbi about what she knew about hillary’s private email use,13,29,8
3930,millions of americans are breathing unsafe air and it’s getting worse,negative_anticipation_including_pessimism,"[[""breathing unsafe air and it’s getting worse""]]",breathing unsafe air and it’s getting worse,7,16,7
3724,judge blocks doj's attempt to switch lawyers in the census citizenship question case,anger,"[[""switch lawyers in the census citizenship question case""]]",switch lawyers in the census citizenship question case,9,16,0
3686,cyclone idai: 'people didn't stand a chance',fear,"[[""'people didn't stand a chance'""]]",'people didn't stand a chance',5,13,3
3630,trump slams biden as non-salvageable ‘reclamation project’,negative_surprise,"[[""non-salvageable ‘reclamation project’"",""as non-salvageable ‘reclamation project’""]]",non-salvageable ‘reclamation project’,8,16,8
4122,"shocking image from syria shows girl, 5, clinging to sister's t-shirt at bombed building",negative_surprise,"[[""5, clinging to sister's t-shirt at bombed building""]]","5, clinging to sister's t-shirt at bombed building",10,22,8
3962,alexis tsipras: leader won respect abroad but lost support at home,positive_anticipation_including_optimism,"[[""abroad but lost support at home""]]",abroad but lost support at home,12,17,9
143,"syrian woman's 2,200-mile journey to 'save' her daughter",positive_surprise,"[[""2,200-mile journey to 'save' her daughter""]]","2,200-mile journey to 'save' her daughter",6,17,10
1494,peter thiel: elizabeth warren is most ‘dangerous’ 2020 candidate,fear,"[[""elizabeth warren is most ‘dangerous’ 2020 candidate""]]",elizabeth warren is most ‘dangerous’ 2020 candidate,6,17,3
4336,msnbc’s mitchell: none of trump’s targets are socialists,annoyance,"[[""none of trump’s targets are socialists""]]",none of trump’s targets are socialists,12,21,1
476,move over coffee cup. fans think jaime lannister grows his right hand back in this game of thrones,sadness,"[[""fans think jaime lannister grows his right hand back in this game of thrones""]]",fans think jaime lannister grows his right hand back in this game of thrones,6,24,12
1837,don't let food nationalism spoil your meal,disgust,"[[""spoil your meal""]]",spoil your meal,7,11,2
3045,"nasdaq ends 0.8% higher at 8,170, marking its first record close since may 3",positive_surprise,"[[""ends 0.8% higher at 8,170, marking its first record close since may 3""]]","ends 0.8% higher at 8,170, marking its first record close since may 3",5,23,10
637,"huge! rep. ratcliffe: doj letter says us attorney durham is investigating false statements, fisa abuse, leaks – also uk and aussie intel under review",negative_surprise,"[[""doj letter says us attorney durham is investigating false statements, fisa abuse, leaks – also uk and aussie intel under review""]]","doj letter says us attorney durham is investigating false statements, fisa abuse, leaks – also uk and aussie intel under review",9,38,8
1464,letters: families of murder victims need sustained support,sadness,"[[""sustained support""],[""murder victims""]]",sustained support,8,9,12
4563,horseman capital suffers big losses as stocks rally,negative_surprise,"[[""big losses as stocks rally""]]",big losses as stocks rally,5,9,8
3575,media attorney charles harder named to variety's 2019 legal impact report,negative_surprise,"[[""named to variety's 2019 legal impact report""]]",named to variety's 2019 legal impact report,7,15,8
1597,‘m-o-o-l-a.’ here’s why the scripps national spelling bee is so much more intense this year.,negative_surprise,"[[""much more intense this year.""]]",much more intense this year.,27,32,8
1926,"to remain free, we need to deepen our understanding of the declaration",joy,"[[""to remain free, we need to deepen our understanding of the declaration""]]","to remain free, we need to deepen our understanding of the declaration",1,14,5
1379,buttigieg eyes changing washington's 'mesmerizing horror show',fear,"[[""'mesmerizing horror show'""]]",'mesmerizing horror show',10,17,3
578,conservative websites resurface 2016 video of rep. tlaib confronting trump,annoyance,"[[""rep. tlaib confronting trump""]]",rep. tlaib confronting trump,10,19,1
4180,ocasio-cortez: booker doesn't owe biden apology over remark about segregationists,shame,"[[""booker doesn't owe biden apology over remark about segregationists""]]",booker doesn't owe biden apology over remark about segregationists,9,22,13
141,surprise! dems still jumping into the 2020 sweepstakes despite biden’s entry,annoyance,"[[""still jumping into the 2020 sweepstakes despite biden’s entry""]]",still jumping into the 2020 sweepstakes despite biden’s entry,5,18,1
4738,"another hiker went missing on maui. this time, the search ended in tragedy.",sadness,"[[""this time, the search ended in tragedy.""]]","this time, the search ended in tragedy.",10,18,12
1803,'he always doubles down': trump allies scramble to deal with racist tweets,disgust,"[[""trump allies scramble to deal with racist tweets""]]",trump allies scramble to deal with racist tweets,8,21,2
4858,"a sociologist of religion on protestants, porn, and the “purity industrial complex”",annoyance,"[[""on protestants, porn, and the “purity industrial complex”""]]","on protestants, porn, and the “purity industrial complex”",6,19,1
387,a celebration of nipsey hussle's life takes place in los angeles,joy,"[[""a celebration of nipsey hussle's life takes place in los angeles""]]",a celebration of nipsey hussle's life takes place in los angeles,1,18,5
4294,"trump slams mexico, democrats over spike in asylum seekers at border",disgust,"[[""asylum seekers at border""]]",asylum seekers at border,14,18,2
2715,you’ve heard stories of indian army and air force heroes. now here’s an angel from the navy,positive_anticipation_including_optimism,"[[""now here’s an angel from the navy""]]",now here’s an angel from the navy,15,23,9
1621,beto wants to be our first punk president,pride,"[[""be our first punk president""]]",be our first punk president,5,9,11
1018,ilhan omar attacks israel. liz cheney demolishes her with one tweet.,anger,"[[""liz cheney demolishes her with one tweet.""]]",liz cheney demolishes her with one tweet.,10,23,0
4055,"feds charge greg craig, former obama lawyer tied to manafort ukraine report",sadness,"[[""feds charge greg craig, former obama lawyer tied to manafort ukraine report""]]","feds charge greg craig, former obama lawyer tied to manafort ukraine report",1,24,12
351,"ukraine election: comedian trounces president, exit poll shows",joy,"[[""exit poll shows""]]",exit poll shows,12,14,5
1736,propublica wins hechinger grand prize for distinguished education reporting,joy,"[[""distinguished education reporting""]]",distinguished education reporting,11,13,5
3129,"corporate tax revenue under the gop tax bill came in 31% below predictions, and it's getting worse",negative_surprise,"[[""under the gop tax bill came in 31% below predictions, and it's getting worse"",""the gop tax bill came in 31% below predictions, and it's getting worse""]]","under the gop tax bill came in 31% below predictions, and it's getting worse",4,22,8
26,five ways to care for your scalp,annoyance,"[[""five ways to care for your scalp""]]",five ways to care for your scalp,1,7,1
656,"acosta resigns, calling criticism of his lenience in epstein case a distraction to administration",disgust,"[[""calling criticism of his lenience in epstein case a distraction to administration""]]",calling criticism of his lenience in epstein case a distraction to administration,7,22,2
1856,"greta thunberg became a climate activist not in spite of her autism, but because of it",anger,"[[""became a climate activist not in spite of her autism, but because of it""]]","became a climate activist not in spite of her autism, but because of it",6,20,0
399,baby girl found alive inside plastic bag,fear,"[[""found alive inside plastic bag""]]",found alive inside plastic bag,3,7,3
682,books in brief: recent releases on richard holbrooke and america’s hidden empire,negative_surprise,"[[""books in brief: recent releases on richard holbrooke and america’s hidden empire""]]",books in brief: recent releases on richard holbrooke and america’s hidden empire,1,21,8
