,id,emotion,utterance,cause_utterance,cause_span,input_text,start_index,end_index,emotion_label
0,dailydialog_tr_1097_utt_1_true_cause_utt_1_span_0,happiness,Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan--you must be excited !,Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan--you must be excited !,Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan,Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan--you must be excited ! Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan--you must be excited !,30,51,3
1,dailydialog_tr_1097_utt_3_true_cause_utt_3_span_0,happiness,"You have no idea ! There's a banquet with prizes , performances ... you name it !","You have no idea ! There's a banquet with prizes , performances ... you name it !","There's a banquet with prizes , performances","You have no idea ! There's a banquet with prizes , performances ... you name it ! You have no idea ! There's a banquet with prizes , performances ... you name it !",27,35,3
2,dailydialog_tr_1097_utt_4_true_cause_utt_3_span_0,surprise,Really ? What kind of prizes ?,"You have no idea ! There's a banquet with prizes , performances ... you name it !","There's a banquet with prizes , performances","Really ? What kind of prizes ? You have no idea ! There's a banquet with prizes , performances ... you name it !",13,21,5
3,dailydialog_tr_1097_utt_5_true_cause_utt_5_span_0,happiness,"Well , I heard that last year Vivian from accounting won a new car !","Well , I heard that last year Vivian from accounting won a new car !",last year Vivian from accounting won a new car !,"Well , I heard that last year Vivian from accounting won a new car ! Well , I heard that last year Vivian from accounting won a new car !",21,30,3
4,dailydialog_tr_1097_utt_6_true_cause_utt_5_span_0,surprise,A new car ! You're kidding !,"Well , I heard that last year Vivian from accounting won a new car !",last year Vivian from accounting won a new car !,"A new car ! You're kidding ! Well , I heard that last year Vivian from accounting won a new car !",15,24,5
5,dailydialog_tr_1097_utt_7_true_cause_utt_5_span_0,happiness,"No , really ! And she told me the secret to winning , wear red underwear !","Well , I heard that last year Vivian from accounting won a new car !",last year Vivian from accounting won a new car !,"No , really ! And she told me the secret to winning , wear red underwear ! Well , I heard that last year Vivian from accounting won a new car !",23,32,3
6,dailydialog_tr_1097_utt_7_true_cause_utt_7_span_1,happiness,"No , really ! And she told me the secret to winning , wear red underwear !","No , really ! And she told me the secret to winning , wear red underwear !","And she told me the secret to winning , wear red underwear !","No , really ! And she told me the secret to winning , wear red underwear ! No , really ! And she told me the secret to winning , wear red underwear !",22,34,3
7,dailydialog_tr_1097_utt_8_true_cause_utt_7_span_0,surprise,Wear red underwear ? ! Does that really work ? Are you going to try it ?,"No , really ! And she told me the secret to winning , wear red underwear !","And she told me the secret to winning , wear red underwear !","Wear red underwear ? ! Does that really work ? Are you going to try it ? No , really ! And she told me the secret to winning , wear red underwear !",23,35,5
8,dailydialog_tr_1097_utt_9_true_cause_utt_7_span_0,happiness,"Of course ! I'm not only going to wear red underwear , but I'm going to wear red socks and a red shirt , too !","No , really ! And she told me the secret to winning , wear red underwear !","And she told me the secret to winning , wear red underwear !","Of course ! I'm not only going to wear red underwear , but I'm going to wear red socks and a red shirt , too ! No , really ! And she told me the secret to winning , wear red underwear !",35,47,3
9,dailydialog_tr_1097_utt_9_true_cause_utt_9_span_1,happiness,"Of course ! I'm not only going to wear red underwear , but I'm going to wear red socks and a red shirt , too !","Of course ! I'm not only going to wear red underwear , but I'm going to wear red socks and a red shirt , too !","Of course ! I'm not only going to wear red underwear , but I'm going to wear red socks and a red shirt , too !","Of course ! I'm not only going to wear red underwear , but I'm going to wear red socks and a red shirt , too ! Of course ! I'm not only going to wear red underwear , but I'm going to wear red socks and a red shirt , too !",31,60,3
10,dailydialog_tr_74_utt_2_true_cause_utt_2_span_0,disgust,"I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him .","I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him .",you may be taken for a ride by a guy like him .,"I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him . I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him .",40,52,1
11,dailydialog_tr_74_utt_4_true_cause_utt_4_span_0,disgust,Because you seem to have lost your vigilance . You should be on the watch out .,Because you seem to have lost your vigilance . You should be on the watch out .,you seem to have lost your vigilance .,Because you seem to have lost your vigilance . You should be on the watch out . Because you seem to have lost your vigilance . You should be on the watch out .,21,30,1
12,dailydialog_tr_74_utt_6_true_cause_utt_5_span_0,anger,Isn't there anything that sounds fishy ?,I have no reason to distrust him . He's never caused any harm .,I have no reason to distrust him . He's never caused any harm .,Isn't there anything that sounds fishy ? I have no reason to distrust him . He's never caused any harm .,11,28,0
13,dailydialog_tr_74_utt_6_true_cause_utt_6_span_1,anger,Isn't there anything that sounds fishy ?,Isn't there anything that sounds fishy ?,sounds fishy ?,Isn't there anything that sounds fishy ? Isn't there anything that sounds fishy ?,17,20,0
14,dailydialog_tr_74_utt_8_true_cause_utt_7_span_0,surprise,All-right guy ? All right . Let's talk about something else instead .,Nothing smells a rat . I told you that he's an all-right guy .,I told you that he's an all-right guy .,All-right guy ? All right . Let's talk about something else instead . Nothing smells a rat . I told you that he's an all-right guy .,23,35,5
15,dailydialog_tr_2880_utt_2_true_cause_utt_2_span_0,happiness,Perfect . Couldn't be better !,Perfect . Couldn't be better !,Perfect . Couldn't be better !,Perfect . Couldn't be better ! Perfect . Couldn't be better !,9,16,3
16,dailydialog_tr_2880_utt_3_true_cause_utt_2_span_0,happiness,"You made a good choice , then ?",Perfect . Couldn't be better !,Perfect . Couldn't be better !,"You made a good choice , then ? Perfect . Couldn't be better !",9,16,3
17,dailydialog_tr_2880_utt_4_true_cause_utt_2_span_0,happiness,It's just what I wanted .,Perfect . Couldn't be better !,Perfect . Couldn't be better !,It's just what I wanted . Perfect . Couldn't be better !,9,16,3
18,dailydialog_tr_2880_utt_4_true_cause_utt_4_span_1,happiness,It's just what I wanted .,It's just what I wanted .,It's just what I wanted .,It's just what I wanted . It's just what I wanted .,9,16,3
19,dailydialog_tr_2880_utt_6_true_cause_utt_2_span_0,happiness,I'm really pleased with it . Thanks .,Perfect . Couldn't be better !,Perfect . Couldn't be better !,I'm really pleased with it . Thanks . Perfect . Couldn't be better !,11,18,3
20,dailydialog_tr_2880_utt_6_true_cause_utt_4_span_1,happiness,I'm really pleased with it . Thanks .,It's just what I wanted .,It's just what I wanted .,I'm really pleased with it . Thanks . It's just what I wanted .,11,18,3
21,dailydialog_tr_2880_utt_6_true_cause_utt_6_span_2,happiness,I'm really pleased with it . Thanks .,I'm really pleased with it . Thanks .,I'm really pleased with it,I'm really pleased with it . Thanks . I'm really pleased with it . Thanks .,11,17,3
22,dailydialog_tr_2880_utt_7_true_cause_utt_6_span_0,happiness,I'm glad you're so happy .,I'm really pleased with it . Thanks .,I'm really pleased with it .,I'm glad you're so happy . I'm really pleased with it . Thanks .,11,18,3
23,dailydialog_tr_2880_utt_8_true_cause_utt_2_span_0,happiness,It's super .,Perfect . Couldn't be better !,Perfect . Couldn't be better !,It's super . Perfect . Couldn't be better !,6,13,3
24,dailydialog_tr_2880_utt_8_true_cause_utt_4_span_1,happiness,It's super .,It's just what I wanted .,It's just what I wanted .,It's super . It's just what I wanted .,6,13,3
25,dailydialog_tr_2880_utt_8_true_cause_utt_6_span_2,happiness,It's super .,I'm really pleased with it . Thanks .,I'm really pleased with it,It's super . I'm really pleased with it . Thanks .,6,12,3
