,original_situation,emotion,cause_span,start_index,end_index,emotion_label
1711,what disasters reveal about - health care,__disappointed__,disasters reveal about mental-health care,2,8,11
672,the middle east is now split between red states blue,__disappointed__,split between red states and blue states,6,11,11
3040,phrma is a think tank trying to derail medicare all,__disappointed__,think tank trying to derail medicare for all,6,16,11
1276,vaping : astonishing surge e - cigarette use,__disappointed__,the astonishing surge in e-cigarette use,6,14,11
2745,"london bridge was a war zone , says fiance terror victim",__disappointed__,london bridge was like a war zone,1,8,11
525,chuck grassley says can ' t believe that president trump actually thinksriffs good,__disappointed__,that tariffs are good,17,21,11
2814,boris johnson ' s girlfriend carrie s quit her job at party over expenses claims,__disappointed__,quit her job at conservative party over expenses claims,12,20,11
1749,"booker ’ s latest justice proposal : clem for , 000 people",__disappointed__,"clemency for 17,000 people",9,16,11
703,burma under british rule vintage photographs mymar ’ s days as british colony,__disappointed__,vintage photographs from myanmar’s days as a british colony,9,23,11
623,"in claim , trump suggests mchn lied under oath",__disappointed__,suggests mcgahn lied under oath,6,13,11
1906,brazil s supreme court pushed against an attempt to participatory councils,__disappointed__,against an attempt to cancel participatory councils,8,17,11
2752,brexit preference ‘ question to ask on first ’,__disappointed__,‘first question to ask on first date’,5,13,11
1276,vaping the astonishing surge in e - use,__disappointed__,the astonishing surge in e-cigarette use,4,13,11
2895,when i found out job ' t cracked up what i thought it was,__disappointed__,job,5,5,11
763,the republican party losing its future,__disappointed__,the republican party is losing its future,1,7,11
1465,all - spacewalk cancelled spacesuit sizes,__disappointed__,all-female spacewalk cancelled over spacesuit sizes,1,10,11
846,firm fined $ . 3m for worst california in 25 years,__disappointed__,california oil spill in 25 years,9,18,11
43,"nadaq 0 . 8 higher at 8 , , marking its first record close since may 3",__impressed__,"ends 0.8% higher at 8,170, marking its first record close since may 3",5,22,20
1997,8 - - old boy saves sister kidnapping,__impressed__,saves sister from kidnapping,6,9,20
88,drone in maand makes by delivering organ for successful transplant,__impressed__,drone in maryland makes history by delivering organ for successful transplant,1,13,20
3049,black widow and captain ma hitting red carpet wearing infinity stones is a superpower,__impressed__,hitting the red carpet wearing infinity stones is a superpower,6,17,20
2391,a friend was able to build a desk just few hours . i feel it d take anyone else half day at least do it,__impressed__,build a desk in just a few hours,6,13,20
2512,5 winners 18s from the democratic presidential fundraising quarter,__impressed__,fundraising quarter,9,10,20
3070,houses askcrats to help force vote on protecting lives of babies after abortion,__impressed__,help force vote on protecting lives of babies born after abortion,6,16,20
389,toddlerraculously survives fall down embankment in arkaas,__impressed__,fall down steep embankment in arkansas,6,15,20
548,proud of my,__impressed__,proud of my wife,1,3,20
1170,woman jumps of her car to rescue child running in traffic,__impressed__,jumps out of her car to rescue a child running in traffic,2,13,20
1993,meet the 'ts and all ' wedding,__impressed__,the 'warts and all' wedding photographer,2,9,20
2635,of business leaders advocate abortion : ‘ don ’ t equality ’,__impressed__,advocate abortion access: ‘don’t ban equality’,4,14,20
2024,valerierett : us ready for a female,__impressed__,us ready for a female president,7,11,20
704,##iulian ' s sunday talking : ' ' s nothing wrong with taking information from russ ',__impressed__,there's nothing wrong with taking information from russians,11,20,20
1977,all ! meet the new artistic directors shaking up britis theatre,__impressed__,meet the new artistic directors shaking up british theatre,3,13,20
2382,trump approval ratings to percent : poll,__impressed__,rating dips to 44,4,7,20
83,journos hick for pot flip - fl,__impressed__,hit hick for pot flip-flop,5,11,20
1202,vietse woman accused kim jongm ' s killing released,__impressed__,killing released,13,14,20
1977,all change ! meet the new artistic directors shakingitish theatre,__impressed__,meet the new artistic directors shaking up british theatre,4,14,20
146,"is offering $ 18 , 500 to lie in bed 60 days",__impressed__,lie in bed for 60 days,8,13,20
86,one of my friends managed to off their first house at age 25 .,__impressed__,house,10,10,20
2074,i was working with daughter teaching some things . i to and she knew what was when we had never discussed it before .,__impressed__,daughter teaching her some things. i pointed to something and she actually knew,5,18,20
2512,5 winners and 18 loser from the democratic presidential quarter,__impressed__,fundraising quarter,11,11,20
3045,whale experiencing mini baby in new england waters,__impressed__,experiencing mini baby boom in new england waters,2,11,20
1946,##oe bid just offered a peek his health care plan . we have a of questions .,__impressed__,we have a bunch of questions.,12,18,20
2934,##erer makes winning french return after 4 - year absence,__impressed__,after 4-year absence,7,11,20
2024,valerierett : ready for a female president,__impressed__,us ready for a female president,8,12,20
1210,##itain ’ s tories bravely put before country,__impressed__,put party before country,9,12,20
2447,theis show sold $ 15 billion in planes . a $ 4 electric the show,__impressed__,a $4 million electric stole the show,11,18,20
787,on the front lines : how us and un are promoting in lebanon,__impressed__,how the us and un are promoting stability in lebanon,6,17,20
1553,holly writers attempt life without agents,__impressed__,attempt life without agents,4,7,20
2993,"jeweller sells £4 , 250 me markle nappy cream",__impressed__,"sells £4,250 meghan markle nappy-cream lid",3,15,20
2307,##o ’ rourke plans to give minority americ more loans,__impressed__,plans to give minority americans more loans,6,14,20
1592,rhode island is the latest state tobolish onerous hair braiding,__impressed__,abolish onerous hair-braiding licensing,11,18,20
2427,house dems consider flexing their power of the in t oversight battles report,__impressed__,the purse in trump oversight,11,16,20
2363,rupert mur and roger ailes us . these shows to make sense of it all .,__impressed__,these shows try to make sense of it all.,14,23,20
1097,my friend taught his dog to do cool tricks . i ' m in awe of how quickly to the .,__impressed__,taught his dog to do some really cool tricks,3,11,20
953,iranianxies play a role in trump ss push for armed conflict,__impressed__,trump's hawks push for armed conflict,10,19,20
2678,"am so amazed , daughter got straight a ' s this year in her summer college . she is doing in school !",__impressed__,daughter got straight,5,7,20
2562,i didn t really try to weight but i did by drinking smooth,__impressed__,lose weight but i did by drinking smoothie,8,14,20
1699,escape reality theseful old - times . you ’ ll forget 2020 almost here .,__impressed__,you’ll forget 2020 is almost here.,10,18,20
828,##exite boris johnson set to become brh prime minister,__impressed__,set to become british prime minister,8,15,20
2089,color caps insulin co - at $ 100 for insured residents,__impressed__,colorado caps insulin co-pays at $100 for insured residents,1,14,20
1471,house passes mass amnes bill which would millions of illegal immigrants a path to,__impressed__,house passes mass amnesty bill which would give millions of illegal immigrants a path to citizenship,1,17,20
807,one time i saw a person jug chains,__impressed__,juggle chainsaws,7,10,20
2199,"select / nonselec , bass fishing trial highlight lhsaa meeting",__impressed__,bass fishing trial approval highlight lhsaa meeting,7,15,20
666,##er experiences brief moment of lucity – questions democrats ’ border policy,__impressed__,questions democrats’ open border policy,10,16,20
2378,gavinom opens $ 50 million network to kaa harris,__impressed__,opens $50 million donor network to kamala harris,5,17,20
997,meet the new boss but ’ s literally the same person ),__impressed__,(but it’s literally the same person),6,14,20
1795,i watched my friend a really cool backf !,__impressed__,cool backflip,7,9,20
490,"the first time i ever played pool with my , we had to play for the table she up 5 in a row she",__impressed__,beating 5,21,21,20
2286,##lay to sell 1mdb - linked superyacht for $ million,__impressed__,1mdb-linked superyacht for $126 million,4,16,20
789,"ny times deflects mlk ‘ rape bombshell personally attacking historian , f",__angry__,"personally attacking the historian, fbi",13,18,1
1874,rep .ve king belittles hurricane katrina victims for needing help unlikeowans,__angry__,for needing,14,15,1
1473,one i kept for this to respond to my texts . he never did,__angry__,waiting,5,4,1
73,uk braves us i tax on tech companies,__angry__,with tax on tech companies,7,10,1
1874,"rep .ve king belittles hurricanetrina victims for needing help , unlike iowa",__angry__,for needing,13,14,1
1477,pelosi and smer hate b than ultranationalism,__angry__,hate bds more than ultranationalism,7,14,1
2715,couplefuriate officials by landing their helicopter in the middle of a califo nature,__angry__,landing their helicopter in the middle of a california nature reserve,7,20,1
2360,my neighbors still doing fireworks every night midnight . i have that are scared the noise and ' t sleep .,__angry__,fireworks every night at midnight. i have dogs that are scared,5,16,1
1104,lost my car keys . ' m furious with myself .,__angry__,lost my car keys,1,4,1
1836,"house voting on contempt for bothr and mc , changing rules to enforce subpos",__angry__,changing rules to enforce subpoenas,12,19,1
2401,dam breaking : new epstein auser comes,__angry__,new epstein accuser comes forward,4,11,1
1852,. c . chants ‘ send her back ’ asrump criticizes omar and house ‘ squad,__angry__,trump criticizes omar and house ‘squad’,13,21,1
2964,chgo ’ s police accountability office fails major test,__angry__,fails a major test,9,12,1
2191,mps warn anti - semitism is becoming ' normal the party,__angry__,labour mps warn anti-semitism is becoming 'normal,2,12,1
2667,"eltonoh blasts brexit : i am a european – a stupid ,ist engli idiot '",__angry__,"not a stupid, imperialist english idiot",18,26,1
1722,house democrats thread the needle oneachment hometown town halls,__angry__,impeachment in hometown town halls,9,14,1
2961,"trump lashes central america , mexico on",__angry__,mexico on border,9,12,1
958,"protesters tear down americ from facility , replace it withxican flag and defaced blue lives matter",__angry__,replace it with mexican flag and defaced blue lives matter flag,9,22,1
3001,i was so mad when my friend birthday .,__angry__,forgot,9,8,1
1422,i there was tv show on called s and was awesome they had seasons and i watched themly every when new episodes on and after 2 they decided to cancel it and i never found out to the characters that i was invested in and made me so freaking mad,__angry__,tv show on called hero's and it was awesome they had 2 seasons and i watched them religiously every week when new episodes came on and after season 2 they decided to cancel,4,40,1
1615,federal judge slap rog stone with a social media ban violating a court order,__angry__,stone with a social media ban for violating a court order,6,16,1
1357,us says vezuela plane aggressively shadowed a us aircraft,__angry__,us military aircraft,11,13,1
809,william barr just threw trump under the bus,__angry__,under the bus,9,11,1
366,billionaireer wants taxes for americans,__angry__,wants higher taxes for americans,3,9,1
285,i really pissed off when i found out my best friend slept with girlfriend i shaking all over !,__angry__,slept with my girlfriend,12,15,1
2852,my upstairs neighbor out recently and all her trash and in parking lot to the garbage cans no one has a place to park ! i ' so mad .,__angry__,neighbor moved out recently and left all her trash and furniture,3,12,1
2104,uk police warning media over diplomat s leaked memos stir anger,__angry__,uk police warning to media over diplomat’s leaked,1,10,1
1510,"amid for new special counsel , on internal of fbi , doj abuses",__angry__,"silence on internal probe of fbi, doj abuses",8,17,1
