,original_situation,emotion,cause_span,start_index,end_index,emotion_label
0,one time i saw a giant cockroach under my desk!,__surprised__,giant cockroach,6,8,29
1,i started a diet today and as soon as i got home i ate a burger. ,__guilty__,diet today and as soon as i got home i ate a burger,4,17,18
2,i was late for a meeing.,__terrified__,late,3,3,30
3,"i was buying some beer and smokes with a couple of old friends of mine. they were in from out of town and we had been partying in an abandoned lot with a bunch of my in town friends. on our way back from the gas station, we heard some noise, and went through a hole in the fence to find a full blown speakeasy!",__surprised__,full blown speakeasy,69,73,29
4,"my husband was ordained to be a minister last year. he has worked so hard and he studies all the time. he is completely devoted to god and serving him. i was so happy for him, when he was finally ordained.",__proud__,husband was ordained to be a minister last year. he has worked so hard and he studies all the time. he is completely devoted,2,27,26
5,a friend of mine drove me to work when my car broke down.  i would have been in trouble otherwise,__grateful__,drove me to work when my car broke,5,12,17
6,we went camping in the mountain. we did not know it was bear season. there were a lot of hunters and hunting dogs in the area. they were chasing the bears into one area.,__afraid__,bear season,14,15,0
7,i cannot believe that my wife cheated on me!,__furious__,cheated,7,7,16
8,i left some aluminum foil with egg leftovers on my counter for 3 days and came back to maggots.,__disgusted__,maggots,20,22,12
9,i got a job after a long period of unemployment.,__joyful__,got a job,2,4,22
10,going on vacation and i am done packing 2 days before i leave. i usually scramble the night before.,__prepared__,vacation and i am done packing 2 days,3,10,25
11,what a joke i am,__ashamed__,joke,3,3,6
12,i cannot wait until the weekend is here! i am going skydiving for the first time!,__anxious__,going skydiving,12,15,4
13,i couldn't wait for my mom to get here from new jersey.,__anxious__,mom to get,8,10,4
14,i bought a 20 foot boat. i believe it will be able to handle the large lake that i will be taking it on. ,__trusting__,handle the large,15,17,31
15,i fainted on the bus. all of the passages looked at me with disdain.,__embarrassed__,fainted,2,3,13
16,i want to see all the ingredients neatly lined up on the table before i start to cook. i am very through that way,__prepared__,ingredients,7,7,25
17,watching my daughter grow and become more intelligent makes me happy. i've been teaching her to play certain video games and she catches on so quickly.,__joyful__,daughter grow,3,4,22
18,i am annoyed at my neighbor's loud lawnmower,__annoyed__,neighbor's loud lawnmower,6,12,2
19,i was so happy that i finally got to leave retail and get a better job.,__excited__,finally got to leave retail,7,11,14
20,can i do it alone?,__anxious__,alone,5,5,4
21,i keep remember my old college days.,__nostalgic__,old college days,5,7,24
22,"this weekend was going to be my 1st weekend off in two months. well not any more i have to work,",__disappointed__,1st weekend off in two months,8,13,11
23,i believed in myself that i would pass the ged test.,__confident__,pass the ged test,8,12,8
24,i bought a cake from the store and it ended up tasting terrible. ,__disappointed__,cake from the store and it ended up tasting terrible,4,13,11
25,remembering the high school days brings back memories,__nostalgic__,high school,3,4,24
26,i had a job interview one time that was very important for me! i prepared as best i could and wen!t in to the interview feeling great about it.  i truly felt i would ace it,__confident__,job interview one time that was very important for me ! i prepared,4,16,8
27,this old lady ran a stop sign the other day and almost hit me when i was in the crosswalk on my bike. i wish people would pay attention to pedestrians.,__annoyed__,ran a stop sign the other day and almost hit,4,13,2
28,i start my new job in 2 weeks a little nervous but i am self assured i will be just fine. ,__confident__,assured,16,16,8
29,my sister threw up the other day and made a huge mess.,__disgusted__,sister threw up the other day and made a huge mess,2,12,12
30,i caught my neighbor letting his dog poop on my lawn.,__furious__,neighbor letting his dog poop,4,9,16
31,"i went to a restaurant that had call ahead seating. i called ahead and was put on the wait list. we arrived 10 minutes later as directed. however, we still have to wait over 45 minutes for our table.",__annoyed__,wait over 45 minutes,37,40,2
32,i'm spent all summer getting ready to write my thesis. i can't wait to get time to start.,__prepared__,spent all summer getting ready,4,8,25
33,"in all my relationships,i always choose to honest as much as i can. i never want to my partner to stop believing in me.",__faithful__,believing,25,25,15
34,"there was a time that i came home and my lights were on in the house and my door was unlocked and it had me really scared, i had my cell phone ready to dial 911 but noone was in my home and i never did figure it out",__afraid__,lights were on in the house and my door was unlocked,11,21,0
35,"i had a flat on the way to work this morning.  when i went to change the tire, the handle to my jack was missing. i had to use a screwdriver to work the jack, and it sucked.",__annoyed__,"flat on the way to work this morning. when i went to change the tire, the handle to my jack was missing",4,27,2
36,i was afraid when i got out of the movie theater ,__afraid__,got out of the movie theater,6,11,0
37,i borrowed a book from a friend and left it outside. it got ruined by the rain.,__ashamed__,borrowed a book from a friend and left it outside. it got ruined,2,15,6
38,"i worked really hard to get into a program that i wanted to be in. unfortunately, it was too difficult for me and i had to change majors; i was pretty upset with myself.",__disappointed__,difficult for me and i had to change majors,22,30,11
39,one day i saw a video of a grandparent playing with my grandkids and i realized i was no longer able to do a lot of those things.,__sad__,video of a grandparent playing with my grandkids and i realized i was no longer able to do a lot of those things,6,32,27
40,i saw one of my old friends today,__nostalgic__,old friends,6,7,24
41,"a couple years ago i suddenly went blind in my right eye. two days and several test later, i found out i had ms.",__surprised__,suddenly went blind,6,8,29
42,i found 100 dollars in an old coat i had in storage! ,__surprised__,found 100 dollars in an old coat,2,8,29
43,there are too many thing in life we take for granted.,__grateful__,life,7,7,17
44,"my husband just got called back into work, was not expecting that. we were in the middle of eating dinner to!",__surprised__,husband,2,2,29
45,a friend forgot his phone at the library.  i rushed back and grabbed it for him,__caring__,friend forgot his phone at the library. i rushed back and grabbed,2,14,7
46,i came home yesterday to dog poop everywhere!,__disgusted__,dog poop,6,8,12
47,when i play old games i get nostalgic.,__nostalgic__,old games,4,5,24
48,i hate going outdoors during rain season there is mosquitos everywhere i go i cannot stand them,__annoyed__,outdoors during rain season there is mosquitos,4,13,2
49,i was annoyed when my favorite show wasn't on,__annoyed__,favorite show,6,7,2
50,"i really like all the shelves in my house to be arranged just so. it really bothers me when people put random stuff on them, like cups or papers.",__annoyed__,people put random stuff,22,25,2
51,i bought a lottery ticket and did not win anything,__disappointed__,lottery ticket and did not win,4,9,11
52,i picked up a 2nd job last year and today made my last student loan payment,__grateful__,job last year and today made my last student loan payment,6,16,17
53,i was surprised when my parents threw me a big party,__surprised__,party,11,11,29
54,going to an amusement park.,__excited__,amusement park,4,5,14
55,i am about to take a cross country flight. i always get mildly nervous when flying.,__anxious__,cross country flight,7,9,4
56,"it was really hard on my family when katrina hit texas, our house and belongings got kind of affected by it",__devastated__,"family when katrina hit texas, our house and belongings got kind of affected",7,24,10
57,"i need to use my car to drive somewhere.  when i walked over, i saw that it had been hit",__surprised__,"car to drive somewhere. when i walked over, i saw that it had been hit",6,22,29
58,yesterday i left my luggage behind for a stranger to look for it.,__trusting__,left my luggage behind for a stranger,3,9,31
59,my car has been having problems.  i'm worried it won't make it in the future,__apprehensive__,problems,6,6,5
60,i can recall a lot of good times taking vacations with the family going to fun places like virginia and to pennsylvania when i was a kid,__nostalgic__,vacations,10,11,24
61,"i ate too many macadamia nuts the other day, i don't feel sorry, too much.",__guilty__,ate too many macadamia nuts,2,8,18
62,i was looking at old photos of my family. it made me feel sad and nostalgic about the past.,__sentimental__,old photos,5,6,28
63,moving scares me!,__terrified__,moving,1,1,30
64,an hour ago i was so happy that the wi-fi finally started working again.,__grateful__,working,16,16,17
65,i just got a new car and i love it! my old car was a piece of crap.,__excited__,got a new car,3,6,14
66,i trusted my boss to look out for my best interests and she didn't.,__trusting__,boss to look out for my best interests,4,11,31
67,"one time when using the public restroom, i had toilet paper handing from my shoe",__embarrassed__,toilet paper handing from my shoe,12,17,13
68,i met a girl i hadn't seen in awhile.  we ended up going out on a date,__nostalgic__,met a girl i hadn't seen in awhile,2,11,24
69,a friend of mine bought a new car.  it was a model i had my eye on for some time,__jealous__,new car,7,8,21
70,i went to the fridge looking for my last piece of chocolate i was saving and it was gone! ,__disappointed__,chocolate i was saving and it was gone,12,19,11
71,my brother is getting really good at bowling. i am shocked at his skill.,__surprised__,good at bowling. i am shocked at his skill,6,15,29
72,i had a bad nightmare last night.,__afraid__,bad nightmare,4,5,0
73,i was upset when i did not do well on a test.,__sad__,not do well,7,9,27
74,i hadn't been able to visit my grandmother in a while b/c she lives really far away.  well i finally went after not being there in forever and it was exactly as i remembered it as a child.  it created some great memories for me  ,__nostalgic__,visit my grandmother in a while b/c she lives really far away. well i finally went after not being there in forever and it was exactly as i remembered it as a child. it created some great memories,8,49,24
75,"well, i've finally found my perfect restaurant/grocery store. i stopped by the other day and bought some food and couldn't have been more pleased with everything there!",__content__,perfect restaurant/grocery,9,12,9
76,my nephew is learning how to drive and asked to use my car to take the driving test this weekend. ,__trusting__,learning how to drive,4,7,31
77,i'm starting university in two days and i'm kind of stressed,__anxious__,starting,4,4,4
78,i met a guy that had recently purchased an excursion.  i want one of those vehicles!,__jealous__,recently purchased an excursion,7,11,21
79,rainy day spent at home,__lonely__,rainy day spent,1,3,23
80,"school is starting back up soon, i can't wait to see all my friends again!",__excited__,starting,3,3,14
81,i bought a new tv. the colors are so vibrant and it is so sharp! ,__impressed__,tv. the colors are so vibrant and it is so sharp,5,17,20
