,headline,dominant_emotion,cause,cause_span,start_index,end_index
3638,unapologetic taliban terrorist john walker lindh –who praised isis in 2015 – is released from prison,disgust,"[[""walker lindh –who praised isis in 2015 – is""]]",walker lindh –who praised isis in 2015 – is,13,26
1971,"credit standards for leveraged loan to corporations has deteriorated, fed says",negative_anticipation_including_pessimism,"[[""credit standards for leveraged loan to corporations has deteriorated, fed says""]]","credit standards for leveraged loan to corporations has deteriorated, fed says",1,13
4153,two women injured in sunday night shooting after gunfire hit their vehicle in old south baton rouge,sadness,"[[""shooting after gunfire hit their vehicle in old south baton rouge""]]",shooting after gunfire hit their vehicle in old south baton rouge,8,21
4232,if comey is not lying then he just outed australians for using mifsud to entrap papadopoulos,disgust,"[[""for using mifsud to entrap papadopoulos""]]",for using mifsud to entrap papadopoulos,16,29
3266,"'home-school charters' let families use state dollars for disneyland, horseback riding lessons and more",joy,"[[""let families use state dollars for disneyland, horseback riding lessons and more""]]","let families use state dollars for disneyland, horseback riding lessons and more",8,23
728,help to buy scheme was abused by thousands of people who did not need a subsidy to get on the ladder,guilt,"[[""thousands of people who did not need a subsidy to get on the ladder""]]",thousands of people who did not need a subsidy to get on the ladder,8,23
4455,5 cool online startups that drop new products every single week of the year,love_including_like,"[[""drop new products every single week of the year""]]",drop new products every single week of the year,7,15
3956,affirming the paris accord is good — but democrats must do much more,joy,"[[""but democrats must do much more""]]",but democrats must do much more,12,18
4647,trump promises ‘phenomenal’ health care plan soon,positive_anticipation_including_optimism,"[[""‘phenomenal’ health care plan soon"",""health care plan soon""]]",‘phenomenal’ health care plan soon,4,11
4678,i’m still mad about the dark ‘game of thrones’ lighting,anger,"[[""of thrones’ lighting""]]",of thrones’ lighting,11,15
3830,baker school district applying for $12.5 million usda loan to help fund baker high renovation,positive_anticipation_including_optimism,"[[""$12.5 million usda loan to help fund baker high renovation""]]",$12.5 million usda loan to help fund baker high renovation,7,21
1002,give us aoc’s 70% tax rates — but save the 1950s nostalgia,annoyance,"[[""give us aoc’s 70% tax rates — but save the 1950s nostalgia""]]",give us aoc’s 70% tax rates — but save the 1950s nostalgia,1,18
3220,"senate dems demand jcn disclose donors, ignore own dark money",negative_anticipation_including_pessimism,"[[""ignore own dark money"",""disclose donors, ignore own dark money""]]",ignore own dark money,12,15
4112,plastic is everywhere. we can no longer ignore that.,sadness,"[[""we can no longer ignore that.""]]",we can no longer ignore that.,5,11
2851,serious fraud office faces questions over decision to drop bribery investigation,guilt,"[[""bribery investigation""]]",bribery investigation,10,13
4861,conservatives should not celebrate religious tyranny and coercion,disgust,"[[""conservatives should not celebrate religious tyranny and coercion""]]",conservatives should not celebrate religious tyranny and coercion,1,13
1180,this guy got republicans to vote for a democrat,annoyance,"[[""got republicans to vote for a democrat""]]",got republicans to vote for a democrat,3,11
3509,6-year-old boy hospitalized after dingo attack in australia,negative_surprise,"[[""dingo attack in australia""]]",dingo attack in australia,10,16
2326,pelosi sounds alarm over trump impeachment; 'villainous' trump throws fuel on the fire,anger,"[[""'villainous' trump throws fuel on the fire""]]",'villainous' trump throws fuel on the fire,13,23
1590,"workplace overdoses on the rise, new study says",negative_surprise,"[[""overdoses on the rise, new study says""]]","overdoses on the rise, new study says",2,11
3084,silver king dies during london wrestling fight,sadness,"[[""london wrestling fight""]]",london wrestling fight,5,8
1252,"cnn's cooper: trump's 'cruelty' is 'not a bug of the system, it’s a feature'",anger,"[[""not a bug of the system, it’s a feature'""]]","not a bug of the system, it’s a feature'",17,29
1463,leaders in baltimore and maryland denounce trump tweets attacking elijah cummings,disgust,"[[""attacking elijah cummings""]]",attacking elijah cummings,19,25
3343,"john cornyn points out that government can only do so much, but law-hungry leftists, of course, know better",negative_anticipation_including_pessimism,"[[""can only do so much""]]",can only do so much,10,14
2149,harris top choice of hispanic dems after criticizing obama on deportations,trust,"[[""on deportations""]]",on deportations,17,19
3246,trump punts health care until after 2020,annoyance,"[[""punts health care until after 2020""]]",punts health care until after 2020,3,9
1471,mcconnell: we're seeing 'full socialism on display' in the 2020 dem presidential primaries,anger,"[[""we're seeing 'full socialism on display' in the 2020 dem presidential primaries""]]",we're seeing 'full socialism on display' in the 2020 dem presidential primaries,6,23
3993,"column: in tiny oildale, the local barber, a trump fan, has had it with california",negative_surprise,"[[""has had it with california""]]",has had it with california,18,26
2623,far-right supporter confesses to killing politician,guilt,"[[""far-right supporter confesses to killing politician""]]",far-right supporter confesses to killing politician,1,8
