id,emotion,utterance,cause_utterance,cause_span
dailydialog_tr_1097_utt_1_true_cause_utt_1_span_0,happiness,Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan--you must be excited !,Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan--you must be excited !,Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan
dailydialog_tr_1097_utt_3_impossible_cause_utt_1,happiness,"You have no idea ! There's a banquet with prizes , performances ... you name it !",Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan--you must be excited !,Impossible ≠æ≠æ≠ answer
dailydialog_tr_1097_utt_3_impossible_cause_utt_2,happiness,"You have no idea ! There's a banquet with prizes , performances ... you name it !","Excited ? What's there to be excited about ? It's just another company dinner , right ?",Impossible ≠æ≠æ≠ answer
dailydialog_tr_1097_utt_3_true_cause_utt_3_span_0,happiness,"You have no idea ! There's a banquet with prizes , performances ... you name it !","You have no idea ! There's a banquet with prizes , performances ... you name it !","There's a banquet with prizes , performances"
dailydialog_tr_1097_utt_4_impossible_cause_utt_1,surprise,Really ? What kind of prizes ?,Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan--you must be excited !,Impossible ≠æ≠æ≠ answer
dailydialog_tr_1097_utt_4_impossible_cause_utt_2,surprise,Really ? What kind of prizes ?,"Excited ? What's there to be excited about ? It's just another company dinner , right ?",Impossible ≠æ≠æ≠ answer
dailydialog_tr_1097_utt_4_true_cause_utt_3_span_0,surprise,Really ? What kind of prizes ?,"You have no idea ! There's a banquet with prizes , performances ... you name it !","There's a banquet with prizes , performances"
dailydialog_tr_1097_utt_5_impossible_cause_utt_1,happiness,"Well , I heard that last year Vivian from accounting won a new car !",Our company's wei-ya is tomorrow night ! It's your first Chinese New Year in Taiwan--you must be excited !,Impossible ≠æ≠æ≠ answer
dailydialog_tr_1097_utt_5_impossible_cause_utt_2,happiness,"Well , I heard that last year Vivian from accounting won a new car !","Excited ? What's there to be excited about ? It's just another company dinner , right ?",Impossible ≠æ≠æ≠ answer
dailydialog_tr_1097_utt_5_true_cause_utt_5_span_0,happiness,"Well , I heard that last year Vivian from accounting won a new car !","Well , I heard that last year Vivian from accounting won a new car !",last year Vivian from accounting won a new car !
